Date,Tororo,Mbale
2016-01-01,5.366612950491872,5.380096300829159
2016-01-15,5.340941584956898,5.315108037028888
2016-02-01,5.3145937976166415,5.24560092612969
2016-02-15,5.295622821353832,5.28347200357132
2016-03-01,5.291061483717872,5.291061483717872
2016-03-15,5.348429982859414,5.334696527843346
2016-04-01,,
2016-04-15,,
2016-05-01,,
2016-05-15,5.549749753989781,5.492372641406479
2016-06-01,5.610142423642327,5.5871529054176285
2016-06-15,5.602991124233586,5.55801951760426
2016-07-01,5.576141902958443,5.518558680276081
2016-07-15,5.4923782278421704,5.458544154826388
2016-08-01,5.423705056340891,5.426834949349819
2016-08-15,5.360092855457803,5.404544618028637
2016-09-01,5.454821743197266,5.454821743197266
2016-09-15,5.5281612144275725,5.529090150862232
2016-10-01,5.5139818386605155,5.532587026491551
2016-10-15,5.555958906579959,5.554161960903257
2016-11-01,5.635625854879024,5.6617284787816615
2016-11-15,5.656488286964094,5.73312151298501
2016-12-01,5.725621390378153,5.757206829097955
2016-12-15,5.695102992115967,5.732843320098814
2017-01-01,5.643596694341668,5.704078414783624
2017-01-15,5.687556151203077,5.685238653062714
2017-02-01,5.72931576756422,5.687940930497865
2017-02-15,5.722318971851242,5.722318971851242
2017-03-01,5.7813879192895,5.874231226657774
2017-03-15,5.969114394466924,5.999119475863482
2017-04-01,5.9628779560878975,5.996356259907167
2017-04-15,5.964084995289282,5.991297558814167
2017-05-01,5.983435180334269,5.983435180334269
2017-05-15,6.007103365847976,6.022404210803276
2017-06-01,6.029826072147289,5.938288464858283
2017-06-15,5.797147848052577,5.629472606775861
2017-07-01,5.1801395887336295,5.373399411927151
2017-07-15,5.372561740665815,5.372561740665815
2017-08-01,5.366130350325041,5.368581761113166
2017-08-15,5.423792202869158,5.526976439104388
2017-09-01,5.527474771622853,5.567445339952891
2017-09-15,5.471308355088266,5.467556005469715
2017-10-01,5.342139477487782,5.294200015198664
2017-10-15,5.342936347741292,5.399799209635835
2017-11-01,5.154580502417795,5.221686419060612
2017-11-15,5.154315200331731,5.151747804826485
2017-12-01,5.075605806730655,5.147636934939538
2017-12-15,5.1529607047350146,5.1529607047350146
2018-01-01,5.275061057675458,5.138928883350879
2018-01-15,5.133677469568224,5.149262200584922
2018-02-01,5.117816535418485,5.149232731651864
2018-02-15,5.211709363575876,5.144268082780344
2018-03-01,5.204488406774421,5.139302426889725
2018-03-15,5.054234707216013,5.132759470328324
2018-04-01,5.094273598728534,5.126191201696839
2018-04-15,5.123795709372973,5.123795709372973
2018-05-01,5.039616508713424,5.039616508713424
2018-05-15,5.073983710502667,5.106418986255821
2018-06-01,5.044143123349394,5.088471710456624
2018-06-15,5.072644476051474,5.072644476051474
2018-07-01,5.064955123696586,5.067713746135665
2018-07-15,4.53969047128427,4.852632210495289
2018-08-01,4.526104197836701,4.576458083982315
2018-08-15,4.526622869038901,4.603064564538843
2018-09-01,4.507543104770602,4.637137876021543
2018-09-15,,4.630512510540956
2018-10-01,4.468255461410195,4.562665145881269
2018-10-15,4.641371777279842,4.74422916271955
2018-11-01,4.8450582667783735,4.752465479950549
2018-11-15,4.943140500340458,4.943140500340458
2018-12-01,4.944059829839408,4.944059829839408
2018-12-15,4.8042179123373625,4.949208222765956
2019-01-01,5.019239533194721,5.127453117834954
2019-01-15,5.100216309973188,5.131306897043219
2019-02-01,5.033716055574165,5.135136234020068
2019-02-15,5.300741684808489,5.279048860197229
2019-03-01,5.227376269354647,5.289896626335981
2019-03-15,5.223509773156054,5.286030130137388
2019-04-01,5.367203805187378,5.27784012457078
2019-04-15,5.550062909233008,5.61253317730652
2019-05-01,5.563053355337969,5.609203151428446
2019-05-15,5.520292489346226,5.6081538451375605
2019-06-01,5.500180573695616,
2019-06-15,5.579045065873803,
2019-07-01,,
2019-07-15,,
2019-08-01,,
2019-08-15,,
2019-09-01,,
2019-09-15,,
2019-10-01,,
2019-10-15,,
2019-11-01,,
2019-11-15,,
2019-12-01,,
2019-12-15,,
2020-01-01,,
2020-01-15,,
2020-02-01,,
2020-02-15,,
