Date,Arusha,Babati,Bujumbura,Bukavu,Busia,Dar es salaam,Dodoma,Eldoret,Gicumbi,Gitega,Goma,Gulu,Iringa,Juba,Kabale,Kamembe,Kampala,Kapchorwa,Kasese,Kasumbalesa,Kicukiro,Kigali,Kigoma,Kimironko,Kisumu,Kitale,Kiyanzi,Kobero,Kolwezi,Likasi,Lira,Lubumbashi,Machakos,Magwi,Makueni,Masindi,Mbale,Mbeya,Meru,Mombasa,Morobo,Morogoro,Moshi,Mulindi,Musoma,Mwanza,Nairobi,Nakuru,Ngozi,Owino,Rubavu,Ruhengeri,Ruhuha,Songea,Soroti,Tanga,Tororo,Tunduma,Uvira,Yei,Product
2016-01-01,,,,,,,,1476.25,,,,,,,,,,,980.5,,,,,,,,,,,,,,647.0,,,,,,,497.5,,,,,,,,,,,,,,,,,,,,,Cow Peas
2016-01-15,,,,,,,,1435.0,,,,,,,,,,,988.5,,,,,,,,,,,,,,600.0,,,,,,,450.0,,,,,,,,,,,,,,,,,,,,,Cow Peas
2016-02-01,,,,,,,,1416.5,,,,,,,,,,,999.75,,,,,,,,,,,,,,621.5,,,,,,,422.75,,,,,,,,,,,,,,,,,,,,,Cow Peas
2016-02-15,,,,,,,,1420.0,,,,,,,,,,,998.0,,,,,,,,,,,,,,400.0,,,,,,,400.0,,,,,,,,,,,,,,,,,,,,,Cow Peas
2016-03-01,,,,,,,,1408.5,,,,,,843.0,,,,,,,,,,,,,,,,,,,394.0,,,,,,,394.0,,,,,,,,,,,,,,,,,,,,,Cow Peas
2016-03-15,,,,,,,,1423.5,,,,,,1080.0,,,,,,,,,,,695.0,,,,,,,,394.0,,394.0,,,,,298.0,,,,,,,,,,,,,,,,,,,,,Cow Peas
2016-04-01,,,,,,,,1421.0,,,,,,1137.5,,,,,,,,,,,,,,,,,,,394.0,,394.0,,,,,298.75,,,,,,,,597.0,,,,,,,,,,,,,Cow Peas
2016-04-15,,,,,,,,1468.5,,,,,,1192.25,,,,,1059.0,,,,,,729.0,,,,,,,,402.0,,402.0,,,,,302.0,,,,,,,,352.0,,,,,,,,,,,,,Cow Peas
2016-05-01,,,,,,,,1307.0,,,,,,917.0,,,,,,,,,,,757.25,,,,,,,,404.0,,404.5,,,,,303.0,,,,,,,,405.25,,,,,,,,,,,,,Cow Peas
2016-05-15,,,,,,,,1262.25,,,,,,844.25,,,,,1021.5,,,,,,807.0,,,,,,,,404.0,684.5,403.5,,,,,403.0,,,,,,,,403.75,,,,,,,,,,,,,Cow Peas
2016-06-01,,,,,,,,1210.0,,,,,,910.25,,,,,1022.0,,,,,,704.5,,,,,,,,403.5,657.75,402.75,,,,,369.6666666666667,,,,,,,,403.5,,,,,,,,,,,,,Cow Peas
2016-06-15,938.0,,,,,,,1256.0,,,,,,915.0,,,,,,,,,,,779.5,,,,,,,,402.0,577.5,402.5,1451.0,,,,452.5,,,,,,,,503.0,,,,,,,,,,,,,Cow Peas
2016-07-01,840.0,,,,,,,1256.0,,,,,,891.75,,,,,,,,,,,705.0,,,,,,,,403.0,567.0,403.0,,,,,453.0,,,,,,,,,,,,,,,,,,,,,Cow Peas
2016-07-15,839.5,,,,,,,1201.5,,,,,,,,,,,,,,,,,776.75,,,,,,,,401.5,,401.0,,,,,451.0,,,,,,,,501.0,,,,,,,,,,,,,Cow Peas
2016-08-01,,,,,,,,1003.5,,,,,,,,,,,,,,,,,802.0,,,,,,,,,,401.5,1461.75,,,,501.25,,,,,,,,,,,,,,,,,,,,,Cow Peas
2016-08-15,,,,,,,,903.0,,,,,,,,,,,,,,,,,802.0,,,,,,,,401.0,,401.0,1590.5,,,,501.5,,,,,,,,,,,,,,,,,,,,,Cow Peas
2016-09-01,,,,,,,,804.0,,,,,,,,,,,,,,,,,804.0,,,,,,,,402.0,,402.0,1586.5,,,,553.0,,,,,,,,,,,,,,,,,,,,,Cow Peas
2016-09-15,,,,,,,,904.5,,,,,,,,,,,,,,,,,804.0,,,,,,,,,,402.0,1584.25,,,,553.0,,,,,,,,,,,,,,,,,,,,,Cow Peas
2016-10-01,,,,,,,,905.0,,,,,,,,,,,,,,,,,653.5,,,,,,,,402.0,,402.0,1577.5,,,,653.0,,,,,,,,,,,,,,,,,,,,,Cow Peas
2016-10-15,,,,,,,,803.0,,,,,,,,,,,,,,,,,603.0,,,,,,,,502.0,,452.0,1553.0,,,,653.0,,,,,,,,,,,,,,,,,,,,,Cow Peas
2016-11-01,,,,,,,,691.5,,,,,,1056.0,,,,,,,,,,,602.0,,,,,,,,501.0,,451.0,1525.25,,,,651.0,,,,,,,,,,,,,,,,,,,,,Cow Peas
2016-11-15,,,,,,,,730.0,,,,,,1054.0,,,,,,,,,,,649.0,,,,,,,,500.0,,450.0,1483.0,,,,650.5,,,,,,,,,,,,,,,,,,,,,Cow Peas
2016-12-01,,,,,,,,838.0,,,,,,906.0,,,,,,,,,,,624.75,,,,,,,,499.0,,449.0,1482.0,,,,649.0,,,,,,,,,,,,,,,,,,,,,Cow Peas
2016-12-15,,,,,,,,671.0,,,,,,,,,,,,,,,,,598.0,,,,,,,,498.0,,448.0,1496.25,,,,648.75,,,,,,,,,,,,,,,,,,,,,Cow Peas
2017-01-01,,,,,,,,747.0,,,,,,751.0,,,,,,,,,,,693.5,,,,,,,,496.0,,448.0,1487.25,,,,660.6666666666666,,,,,,,,,,,,,,,,,,,,,Cow Peas
2017-01-15,,,,,,,,780.0,,,,,,734.25,,,,,,,,,,,686.25,,,,,,,,,,488.0,,,,,686.0,,,,,,,,,,,,,,,,,,,,,Cow Peas
2017-02-01,,,,,,,,805.5,,,,,,,,,,,,,,,,,711.0,,,,,,,,,,491.25,1808.0,,,,686.0,,,,,,,,,,,,,,,,,,,,,Cow Peas
2017-02-15,,,,,,,,825.75,,,,,,,,,,,,,,,,,738.0,,,,,,,,590.0,,492.0,1802.0,,,,688.5,,,,,,,,,,,,,,,760.5,,,,,,Cow Peas
2017-03-01,,,,,,,,795.5,,,,507.5,,1740.5,,,,,846.25,,,,,,794.5,,,,,,,,596.0,,595.0,1803.25,,,,694.0,,,,,,,,,,,,,,,761.25,,,,,,Cow Peas
2017-03-15,,,,,,,,793.0,,,,676.0,,1697.5,,,,,845.0,,,,,,792.0,,,,,,,,595.0,,594.0,1799.5,,,,694.25,,,,,,,,,,,,,,,759.0,,,,,,Cow Peas
2017-04-01,,,,,,,,867.0,,,,643.75,,1630.0,,,,,,,,,,,788.0,,,,,,,,592.0,,591.0,1791.5,,,,740.0,,,,,,,,,,,,,,,644.25,,,,,,Cow Peas
2017-04-15,,,,,,,,936.0,,,,699.0,,1593.0,,,,,,,,,,,837.0,,,,,,,,690.0,,690.0,1789.0,,,,886.0,,,,,,,,,,,,,,,699.0,,,,,,Cow Peas
2017-05-01,,,,,676.0,,,1080.75,,,,695.75,,1608.25,,,,,,,,,,,839.0,,,,,,,,690.5,,690.0,1779.75,,,,885.75,,,,,,,,,,,,,,,695.25,,,,,,Cow Peas
2017-05-15,,,,,,,,1181.5,,,,699.0,,1615.5,,,,,,,,,,,837.5,,,,,,,,788.0,,788.0,1397.0,,541.5,665.5,1132.5,,,,,,,217.0,,,,,,,,698.5,,,,,,Cow Peas
2017-06-01,,,,,,,,1079.0,,,,701.5,,1536.5,,,,,,,,,,,738.0,,,,,,,,776.0,,776.0,1406.75,,543.5,,1131.0,,,,,,,,,,,,,,,563.0,,,,,,Cow Peas
2017-06-15,,,,,,,,1076.25,,,,423.0,,1517.75,,,,,,,,,,,786.0,,,,,,,,686.5,,686.0,1522.75,846.5,544.25,545.25,982.5,,,,,,,,,,,,,,,479.5,,,,,,Cow Peas
2017-07-01,,,,,,,,1004.0,,,,365.0,,1465.0,,,,,,,,,,,736.0,,,,,,,,765.0,,686.0,1432.5,843.0,527.25,652.0,734.25,,,,,,,,,,,,,,,506.75,,,,,,Cow Peas
2017-07-15,,,,,,,,979.0,,,,506.5,,1441.25,,,,,,,,,,,685.25,,,,,,,,685.5,,685.0,1350.5,844.0,521.0,587.75,783.0,,,,,,,,,,,,,,,618.0,,,,,,Cow Peas
2017-08-01,,,,,,,,878.5,,,,558.6666666666666,,,,,,,1009.0,,,,,,636.0,,,,,,,,683.5,,683.5,1344.25,840.25,519.5,780.5,734.0,,,,,,,,,,,,,,,675.0,,,,,,Cow Peas
2017-08-15,,,,,,,,985.25,,,,562.0,,,,,,,,,,,,,689.5,,,,,,,,688.75,,687.5,1349.0,1039.25,542.5,739.0,739.0,,,,,,,363.0,,,,,,,,674.5,,,,,,Cow Peas
2017-09-01,,,,,,,,988.5,,,,785.0,,,,,,,,,,,,,692.0,,,,,,,,,,,1346.0,1037.0,540.75,739.0,740.0,,,,,,,,,,,,,,,673.0,,,,,,Cow Peas
2017-09-15,,,,,,,,985.0,,,,703.0,,,,,,,,,,,,,738.0,,,,,,,,,,591.0,1345.5,982.0,360.0,765.5,797.0,,,,,,,,,,,,,,,561.0,,,,,,Cow Peas
2017-10-01,,,,,,,,1083.0,,,,699.75,,1470.5,,,,,,,,,,,739.0,,,,,,,,,,811.0,1342.25,979.0,360.0,930.0,788.0,,,,,,,,,,,,,,,559.0,,,,,,Cow Peas
2017-10-15,,,,,,,,1102.0,,,,690.5,,1465.25,,,,,,,,,,,737.0,,,,,,,,,,835.0,1326.5,968.0,517.0,971.0,786.0,,,,,,,,,,,,,,,414.5,,,,,,Cow Peas
2017-11-01,,,,,,,,1078.5,,,,554.0,,,,,,,,,,,,,710.5,,,,,,,,,,834.0,1331.0,973.0,516.25,928.0,785.0,,,,,,,,,,,,,,,334.0,,,,,,Cow Peas
2017-11-15,,,,,,,,1083.0,,,,695.25,,,,,,,,,,,,,686.0,,,,,,,,,,812.5,1334.75,973.5,539.0,926.5,787.0,,,,,,,,,,,,,,,416.0,,,,,,Cow Peas
2017-12-01,,,,,,,,1200.0,,,,833.5,,,,,,,,,,,,,638.0,,,,,,,,,,783.0,1333.5,972.75,543.0,979.0,882.75,,,,,,,,,,,,,,,556.5,,,,,,Cow Peas
2017-12-15,,,,,,,,1218.0,,,,781.0,,,,,,,,,,,,,636.0,,,,,,,,,,724.5,1335.5,973.75,544.0,978.5,880.5,,,,,,,,,,,,,,,556.75,,,,,,Cow Peas
2018-01-01,,,,,,,,1203.0,,,,550.0,,,,,,,1017.0,,,,,,636.0,,,,,,,,,,732.5,1320.0,962.0,541.0,879.0,879.5,,,,,,,,,,,,,,,632.0,,,,,,Cow Peas
2018-01-15,759.0,,1431.0,,,,,1234.5,,,,622.5,,,,,,,998.0,,,,,,641.0,,,,,,,,690.0,,685.0,1109.0,969.0,425.0,691.0,784.0,,,,,,,,,,,,,,,638.0,,,,,,Cow Peas
2018-02-01,758.0,,1429.0,,,,,1356.0,,,,692.0,,,,,,,997.5,,,,,,694.0,,,,,,,,697.0,,600.5,1107.5,968.5,423.5,714.0,698.5,,,,,,,,,,,,,,,691.0,,,,,1215.0,Cow Peas
2018-02-15,758.0,,1435.0,,,,,1284.0,,,,692.5,602.5,,,,,,,,,,,,693.0,,,,,,,,628.0,,596.5,1108.5,967.0,540.0,714.0,693.5,,,,,,,,,,,,,,,691.0,,,,,1124.0,Cow Peas
2018-03-01,758.0,,,,,,,1226.0,,,,745.0,623.0,,,,,,,,,,,,697.0,,,,,,,,646.0,,597.5,1322.5,964.0,622.5,717.0,698.0,,,,,,,,,,,,,,,689.0,,,,,,Cow Peas
2018-03-15,667.0,,,,,,,1167.0,,,,824.0,622.0,,,,,,,,,,,,698.0,,,,,,,,601.0,,601.0,1319.0,961.5,623.0,720.0,699.0,,,,,,,,,,,,,,,687.0,,,,,,Cow Peas
2018-04-01,666.0,,,,,,,1249.0,,,,817.0,622.0,,,,,,,,,,,,699.0,,,,,,,,649.0,,624.0,1308.0,953.0,622.0,719.5,699.0,,,,,,,,,,,,,,,681.0,,,,,,Cow Peas
2018-04-15,661.0,,1420.0,,,,,1273.0,,,,953.0,616.0,,,,,,,,,,,,703.0,,,,,,,,654.0,,647.5,1307.0,953.0,,726.5,704.0,,,,,,,,,,,,,,,599.0,,,,,,Cow Peas
2018-05-01,703.0,,1429.5,,,,,1264.0,,,,947.5,616.0,,,,,,1191.5,,,,,,704.0,,,,,,,,653.5,,652.5,1300.0,948.0,,614.0,704.5,,,,,,616.0,608.5,,,,,,,,596.0,,,,,,Cow Peas
2018-05-15,704.0,,,,,,,1277.0,,,,946.0,528.0,2157.5,,,,,1137.0,,,,,,702.0,,,,,,,,626.0,,603.0,1297.0,946.0,,649.0,652.0,,,,,,616.0,500.0,,,,,,,,595.0,,,,,,Cow Peas
2018-06-01,705.0,,1430.5,,,,,1239.5,,,,922.0,529.5,2168.0,,,,,1097.5,,,,,,600.0,,,,,,,,450.5,,350.0,1271.5,792.0,,380.0,500.0,,,,,,662.0,735.5,,,,,,,,588.0,,,,,,Cow Peas
2018-06-15,707.0,,,,,,,1288.0,,,,909.0,530.0,2218.0,,,,,966.0,,,,,,600.0,,,,,,,,499.0,,299.0,1249.0,1119.0,,400.0,400.0,,,,,,663.0,744.5,,,,,,,,,,,,,,Cow Peas
2018-07-01,705.0,,,,,,,1287.0,,,,804.0,484.5,1787.0,,,,,907.0,,,,,,599.0,,,,,,,,374.5,,299.5,1256.0,1112.0,,400.0,399.0,,,,,,661.0,798.0,,,,,,,,362.5,,,,,,Cow Peas
2018-07-15,528.0,,,,,,,1199.0,,,,809.0,528.0,2025.0,,,,,893.0,,,,,,601.0,,,,,,,,259.0,,225.0,1297.0,1078.5,,365.5,400.0,,,,,,660.0,749.5,,,,,,,,378.0,,,,,,Cow Peas
2018-08-01,527.0,,1373.0,,,,,1102.5,,,,816.0,527.0,,,,,,897.0,,,,,,,,,,,,,,258.0,,300.0,1305.0,1169.5,,351.0,251.0,,,,,,571.0,700.5,,,,,,,,408.0,,,,,,Cow Peas
2018-08-15,439.0,,1316.0,,,,,1120.0,,,,839.5,,,,,,,886.0,,,,,,,,,,,,,,238.0,,300.0,1289.0,1074.0,,300.0,250.0,,,,,,571.0,553.0,,,,,,,,403.0,,,,,,Cow Peas
2018-09-01,526.0,,1201.0,,,,,1120.0,,,,833.0,,,,,,,935.0,,,,,,624.5,,,,,,,,300.0,,250.0,1279.0,982.5,,309.5,250.0,,,,,,438.0,619.0,,,,,,,,400.0,,,,,,Cow Peas
2018-09-15,526.0,,1220.0,,,,,1080.0,,,,,,,,,,,963.0,587.0,,,,,600.0,,,,,,,697.0,250.0,,,1267.0,925.0,,310.0,250.0,,,,,,439.0,599.0,,,,,,,,396.0,,,482.0,,,Cow Peas
2018-10-01,526.0,,,,,,,1049.0,,,,796.0,,,,,,,996.0,638.0,,,,,599.0,,,,,,,697.0,,,,1273.0,928.0,,319.0,250.0,,,,,,438.0,643.5,,,,,,,,451.0,,,438.0,,,Cow Peas
2018-10-15,525.0,,,,,,,1088.0,,,,930.0,,,,,,,1089.0,551.5,,,,,697.0,,,,,,,697.0,299.0,,249.0,1275.5,930.0,,319.0,249.0,,,,,,481.0,598.0,,,,,,,,531.0,,,437.0,,532.5,Cow Peas
2018-11-01,525.0,,,,,,,1003.0,,,,934.0,,,,,,,1028.0,571.0,,,,,688.0,,,,,,,702.0,346.0,,297.0,1282.0,934.5,,357.0,248.0,,,,,,699.0,546.5,,,,,,,,534.0,,,437.0,,,Cow Peas
2018-11-15,523.0,,,,,,,981.0,,,,874.0,,,,,,,998.0,430.0,,,,,686.0,,,,,,,701.0,343.0,,,1293.0,944.0,,343.5,294.5,,,,,,696.0,525.0,,,,,,,,536.0,,,436.0,,,Cow Peas
2018-12-01,523.0,,,,,,,982.0,,,,944.0,,983.0,,,,,999.5,360.5,,,,,688.0,,,,,,,638.0,378.0,,344.0,1295.5,945.0,,373.0,295.0,,,,,,697.0,590.0,,,,,,,,486.0,,,436.0,,524.0,Cow Peas
2018-12-15,523.0,,,,,,,905.0,,,,761.0,,,,,,,951.0,349.0,,,,,689.5,,,,,,,634.0,394.0,,345.0,1305.5,951.0,,394.0,296.0,,,,,,697.0,789.0,,,,,,,,489.0,,,436.0,,,Cow Peas
2019-01-01,523.0,,,,,,,1107.0,,,,,,1619.0,,,,,1079.5,,,,,,692.5,,,,,,,,,,,1296.0,,,,297.0,,,,,,,445.0,,,,,,,,527.0,,,436.0,,,Cow Peas
2019-01-15,521.0,,1360.0,,,,,1119.0,,,,951.0,,1616.0,,,,,1014.0,411.0,,,,,694.0,,,,,,,759.0,446.0,,396.0,1304.0,,,397.0,297.0,,,,,,651.0,475.0,,,,,,,,571.0,,,434.0,,,Cow Peas
2019-02-01,519.0,,,,,,,1086.0,,,,878.0,,1453.5,,,,,1012.0,380.0,,,,,703.0,,,,,,,759.0,436.5,,401.0,1315.0,,,391.0,302.0,,,,,,648.0,482.5,,,,,,,,658.0,,,432.0,,,Cow Peas
2019-02-15,516.0,,,,,,,1106.0,,,,795.0,,1288.0,,,,,1014.0,316.0,,,,,704.0,,,,,,,,452.5,,352.0,1316.0,,,402.0,402.0,,,,,,645.0,418.5,,,,,,,,658.0,,,430.0,,,Cow Peas
2019-03-01,513.0,,1335.0,,,,,1190.5,,,,815.0,,1285.0,,,,,841.0,341.0,,,,,705.0,,,,,,,620.0,453.0,,403.0,1304.0,,,383.0,403.0,,,,,,641.0,448.5,,,,,,,,652.0,,,427.0,,,Cow Peas
2019-03-15,513.0,,1388.5,,,,,1223.5,,,,950.0,,1282.0,,,,,788.0,309.5,,,,,699.5,,,,,,,669.0,452.0,,376.0,1303.0,815.0,,399.0,300.0,,,,,,770.0,450.0,,,,,,,,637.5,,,385.0,,,Cow Peas
2019-04-01,520.0,,1326.0,,,,,1274.0,,,,944.0,,1281.0,,,,,812.0,309.0,,,,,700.0,,,,,,,667.0,350.0,,300.0,1295.0,807.0,,449.0,300.0,,,,,,520.0,450.0,,,,,,,,646.0,,,390.0,,,Cow Peas
2019-04-15,522.0,,,,,,,1342.5,,,,941.0,,1596.0,,,,,969.0,278.0,,,,,844.0,,,,,,,666.5,546.0,,498.0,1290.0,805.5,,463.5,397.5,,,,,,520.0,546.0,,,,,,,,672.0,,,370.0,,,Cow Peas
2019-05-01,522.0,,,,,,,1360.0,,,,936.0,,1590.0,,,,,910.0,,,,,,903.0,,,,,,,673.0,601.0,,551.0,1302.0,803.0,,521.0,601.0,,,,,,610.0,551.0,,,,,,,,671.0,,,391.5,,,Cow Peas
2019-05-15,523.0,,,,,,,1392.5,,,,939.0,,1586.0,,,,,858.0,215.0,,,,,900.5,,,,,,,797.0,599.0,,549.0,1314.0,804.0,,599.0,600.0,,,,,,611.0,693.0,,,,,,,,752.0,,,392.0,,,Cow Peas
2019-06-01,,,,,,,,1415.0,,,,,,,,,,,925.5,,,,,,901.0,,,,,,,780.0,601.0,,550.5,1314.0,,,651.0,601.0,,,,,,654.0,681.0,,,,,,,,751.0,,,393.0,,,Cow Peas
2019-06-15,,,,,,,,1435.0,,,,,,,,,,,932.0,,,,,,894.0,,,,,,,,599.0,,595.0,1325.0,,,665.0,596.0,,,,,,655.0,576.0,,,,,,,,757.0,,,414.0,,,Cow Peas
2019-07-01,,,,,,,,,,,,,,,,,950.0,,,,,,,,,,,,,,,,,,,,,,,584.0,,,,,,,,,,,,,,,,,,436.0,,,Cow Peas
2019-07-15,,,,,,,,735.0,,,,,,,,,,,,,,,,1494.0,931.0,637.0,,,,,,732.0,632.5,,611.0,,,,685.0,587.0,,,,,,,798.5,891.0,,,,1328.0,,,,,,,,,Cow Peas
2019-08-01,,,,,,,,780.0,1215.5,,,818.5,654.0,,,,1093.0,1093.0,,,,,654.0,1547.0,,683.0,,,,,819.5,,,,,,,,,839.0,,,,,,,976.0,878.0,,,,1324.75,,,,,,,,,Cow Peas
2019-08-15,697.0,,,,,566.5,,780.0,995.0,,,818.5,523.0,1569.5,,,1092.0,1091.0,,,,,676.0,1544.0,,683.0,,,,,818.5,,687.5,,640.0,820.0,,,686.0,840.5,,,,,,,1070.0,878.5,,,,1435.5,,,,,,,,,Cow Peas
2019-09-01,697.5,,,,,480.0,,777.5,1208.5,,,824.0,479.5,1887.0,893.5,,825.0,825.0,,,,,611.0,1318.0,,681.0,,,,,824.0,802.0,634.5,,585.5,824.0,,,,837.0,,,,,,,730.0,876.0,,,,1317.0,,,,,,,,,Cow Peas
2019-09-15,698.0,,,,,480.0,,779.0,1206.0,,,823.5,523.0,1877.0,961.0,,823.5,823.5,,,,,589.0,1369.5,,681.75,,,,,823.5,802.0,633.0,,623.5,823.5,,,808.0,838.3333333333334,,,,1314.0,,,731.0,874.5,,,,1314.0,,,,,,,,,Cow Peas
2019-10-01,701.0,,,,,,,778.0,985.0,,,822.5,569.5,,958.5,,821.5,821.5,,,,,,1419.5,,681.0,,,,,821.5,802.0,,,,821.5,,,807.0,839.0,,,,,,,730.0,876.0,,,,1312.0,,,,,,,,,Cow Peas
2019-10-15,700.5,,,,,482.0,,696.0,1201.5,,,819.0,525.5,,956.0,,819.0,819.0,,,,,,1421.0,,681.0,,,,,819.0,683.0,659.0,,585.5,819.0,,,811.0,,,,,,,,731.0,876.5,,,,1314.0,,,,,,,,,Cow Peas
2019-11-01,699.0,,,,,698.0,,837.0,1194.0,,,818.0,568.0,,954.0,,818.0,818.0,,,,,655.0,1437.0,,867.5,,,,,818.0,,643.0,,,818.0,,,812.0,,,,,,,,739.0,887.0,,,,1327.0,,,,,,,,,Cow Peas
2019-11-15,699.0,,,,,699.0,,842.0,1195.0,,,819.0,568.0,,955.5,,819.0,819.0,,,,,655.0,1627.0,,870.0,,,,,819.0,,,,,819.0,,,821.0,,,,,,,,744.5,893.0,,,,1410.0,,,,,,,,,Cow Peas
2019-12-01,699.0,,,,,698.5,,845.0,1536.0,,,821.0,567.5,,957.5,,823.5,821.0,,,,,655.0,1647.0,,875.0,,,,,821.0,,,,,821.0,,,818.5,,,,,,,,795.0,895.0,,,,1426.5,,,,,,,,,Cow Peas
2019-12-15,698.0,,,,,698.0,,849.0,1302.0,,,825.0,567.0,,962.0,,935.5,825.0,,,,,655.0,1609.0,,884.0,,,,,825.0,,,,,825.0,,,552.0,,,,,,,,800.0,899.0,,,,,,,,,,,,,Cow Peas
2020-01-01,699.6666666666667,,,,,698.0,,,1285.5,,,820.5,569.0,,962.0,,957.5,820.5,,,,,655.25,1504.0,,879.5,,,,,820.5,,,,,820.5,,,,,,,,,,,803.0,898.0,,,,1399.0,,,,,,,,,Cow Peas
2020-01-15,696.0,,,,,696.0,,852.0,1287.5,,,823.0,566.0,,960.0,,960.0,823.0,,,,,653.0,1498.0,,881.0,,,,,823.0,,,,,823.0,,,,637.0,,,,,,,831.0,831.0,,,,1392.0,,,,,,,,,Cow Peas
2020-02-01,697.0,,,,,697.0,,853.0,1290.0,,,877.0,566.0,,960.0,,1097.0,960.0,,,,,653.0,1405.5,,832.0,,,,,823.0,,,,,823.0,,,,612.0,,,,,,,803.0,833.0,,,,1398.0,,,,,,,,,Cow Peas
2020-02-15,697.0,,,,,697.5,,851.0,1298.0,,,879.5,567.5,,961.5,,1098.5,961.5,,,,,654.5,1349.5,,881.0,,,,,824.5,,,,,824.5,,,,441.0,,,,,,,801.0,885.0,,,,1352.0,,,,,,,,,Cow Peas
2016-01-01,1486.5,,,,801.5,1488.0,,1346.75,,,,,,,,,,,,,,,,,997.5,,,,,,,,1393.0,,,,,,,1150.0,,,,,,,1110.0,995.0,,,,,,,,,,,,,Green Grams
2016-01-15,1485.25,,,,794.0,1486.5,,1344.0,,,,,,,,,,,,,,,,,1247.0,,,,,,,,1194.0,,,,,,,995.0,,,,,,,1094.5,995.0,,,,,,,,,,,,,Green Grams
2016-02-01,1487.5,,,,,1487.5,,1333.5,,,,,,,,,,,,,,,,,1100.0,,,,,,644.0,,1150.0,,,,,,,900.0,,,,,,,1097.25,1000.0,,,,,,,,,,,,,Green Grams
2016-02-15,1146.5,,,,742.5,1467.0,,1407.0,,,,,,,,,,,,,,,,,1119.75,,,,,,672.0,,1090.0,,,,,,,900.0,,,,,,,1000.5,891.5,,,,,,,,,,,,,Green Grams
2016-03-01,1137.5,,,,760.5,1456.75,,1300.5,,,,,,,,,,,,,,,,,1083.5,,,,,,,,1084.25,,,,,,,837.25,,,,,,,1022.75,1009.75,,,,,,,,,,,,,Green Grams
2016-03-15,911.5,,,,721.0,1458.0,,1393.0,,,,,,,,,,,,,,,,,1206.0,,,,,,,,1083.0,,886.0,565.25,,,,935.5,,,,,,,985.0,889.75,,,,,,,,,,,,,Green Grams
2016-04-01,911.25,,,,721.0,1457.0,,1438.5,,,,,,,,,,,,,,,,,1182.0,,,,,,,,986.0,,788.5,533.0,,,,838.0,,,,,,,988.0,896.0,,,,,,,,,,,,,Green Grams
2016-04-15,930.0,,,,769.25,1488.0,,1438.0,,,,,,,,,,,,,,,,,1307.5,,,,,,,,1006.0,,804.5,546.5,,,,855.0,,,,,,,1005.5,1056.0,,,,,,,,,,,,,Green Grams
2016-05-01,932.0,,,,774.0,1488.0,,1315.5,,,,,,,,,,,,,,,,,1314.5,,,,,,,,1011.0,,910.0,546.5,,,,1011.0,,,,,,,1061.5,1112.0,,,,,,,,,,,,,Green Grams
2016-05-15,931.5,,,,729.75,1025.0,,1333.0,,,,,,,,,,,,,,,,,1311.75,,,,,,,,1009.0,,907.75,541.0,,,,1010.0,,,,,,,1109.75,1110.0,,,,,,,,,,,,,Green Grams
2016-06-01,932.0,,,,688.25,1025.0,,1308.5,,,,,,,,,,,,,,,,,1108.25,,,,,,,,1010.0,,906.0,543.0,,,,1091.0,,,,,,,1108.5,1007.0,,,,,,,,,,,,,Green Grams
2016-06-15,932.0,,,,655.75,1025.0,,1409.0,,,,,,,,,,,,,,,,,1206.0,,,,,,,,1106.0,,906.0,543.3333333333334,,,,1062.25,,,,,,,1107.0,956.0,,,,,,,,,,,,,Green Grams
2016-07-01,840.0,,,,609.75,1025.25,,1459.25,,,,,,,,,,,,,,,,,1108.0,,,,,,,,1108.0,,1007.0,536.5,,,,1057.0,,,,,,,1108.0,1004.5,,,,,,,,,,,,,Green Grams
2016-07-15,837.75,,,,608.0,932.0,,1303.5,,,,,,,,,,,,,,,,,1202.25,,,,,,553.5,,1104.0,,1003.0,539.75,,,,1083.0,,,,,,,1113.0,903.0,,,,,,,,,,,,,Green Grams
