,name,country,lat,long
0,Lira,Uganda,2.258083,32.887407
1,Ngozi,Burundi,-2.91084,29.82443
2,Mombasa,Kenya,-4.043477,39.668207
3,Nairobi,Kenya,-1.292066,36.821945
4,Makueni,Kenya,-1.786495,37.631107
5,Busia,Uganda,0.470669,34.09198
6,Soroti,Uganda,1.71553,33.610088
7,Masindi,Uganda,1.687313,31.713846
8,Kampala,Uganda,0.347596,32.58252
9,Tororo,Uganda,0.69313,34.181
10,Meru,Kenya,0.051472,37.645604
11,Kasese,Uganda,0.169899,30.078078
12,Dodoma,Tanzania,-6.162959,35.751607
13,Mbale,Uganda,1.078444,34.181006
14,Gitega,Burundi,-3.428803,29.924903
15,Nakuru,Kenya,-0.28149,36.078419
16,Ruhengeri,Rwanda,-1.50442,29.63516
17,Kigali,Rwanda,-1.970579,30.104429
18,Kisumu,Kenya,-0.091702,34.767957
19,Eldoret,Kenya,0.514277,35.26978
20,Rubavu,Rwanda,-1.69026,29.295179
21,Kamembe,Rwanda,-2.462016,28.907371
22,Gulu,Uganda,2.772404,32.288073
23,Bujumbura,Burundi,-3.361378,29.359878
24,Mulindi,Rwanda,-1.477311,30.041967
25,Arusha,Tanzania,-3.386925,36.682993
26,Kabale,Uganda,-1.241956,29.985616
27,Machakos,Kenya,-1.517684,37.263415
