,name,country,lat,long
0,Lira,Uganda,2.258083,32.887407
1,Kisumu,Kenya,-0.091702,34.767957
2,Kampala,Uganda,0.347596,32.58252
3,Eldoret,Kenya,0.514277,35.26978
4,Masindi,Uganda,1.687313,31.713846
5,Ngozi,Burundi,-2.91084,29.82443
6,Tororo,Uganda,0.69313,34.181
7,Machakos,Kenya,-1.517684,37.263415
8,Mombasa,Kenya,-4.043477,39.668207
9,Kasese,Uganda,0.169899,30.078078
10,Gulu,Uganda,2.772404,32.288073
11,Bujumbura,Burundi,-3.361378,29.359878
12,Busia,Uganda,0.470669,34.09198
13,Nairobi,Kenya,-1.292066,36.821945
14,Makueni,Kenya,-1.786495,37.631107
15,Kabale,Uganda,-1.241956,29.985616
16,Gitega,Burundi,-3.428803,29.924903
