,Chain,Length,ChainAverage,startingChain
0,"[('Kasese', 'Kampala'), ('Kampala', 'Busia'), ('Busia', 'Tororo'), ('Tororo', 'Masindi'), ('Masindi', 'Lira')]",5,0.35900408849991966,"('Kasese', 'Kampala')"
1,"[('Kasese', 'Kampala'), ('Kampala', 'Lira')]",2,0.2832399506266602,"('Kasese', 'Kampala')"
2,"[('Kasese', 'Kampala'), ('Kampala', 'Masindi'), ('Masindi', 'Lira')]",3,0.3964388280295612,"('Kasese', 'Kampala')"
3,"[('Kasese', 'Kampala'), ('Kampala', 'Tororo'), ('Tororo', 'Masindi'), ('Masindi', 'Lira')]",4,0.3553163323955081,"('Kasese', 'Kampala')"
4,"[('Kasese', 'Masindi'), ('Masindi', 'Kampala'), ('Kampala', 'Lira')]",3,0.32459929473169896,"('Kasese', 'Masindi')"
5,"[('Kasese', 'Masindi'), ('Masindi', 'Lira')]",2,0.34153583248422026,"('Kasese', 'Masindi')"
6,"[('Kasese', 'Masindi'), ('Masindi', 'Tororo'), ('Tororo', 'Kampala'), ('Kampala', 'Lira')]",4,0.3014366824221114,"('Kasese', 'Masindi')"
7,"[('Kasese', 'Masindi'), ('Masindi', 'Tororo'), ('Tororo', 'Busia'), ('Busia', 'Kampala'), ('Kampala', 'Lira')]",5,0.31590036852120235,"('Kasese', 'Masindi')"
8,"[('Kasese', 'Kampala'), ('Kampala', 'Busia')]",2,0.3516359875707029,"('Kasese', 'Kampala')"
9,"[('Kasese', 'Kampala'), ('Kampala', 'Lira'), ('Lira', 'Masindi'), ('Masindi', 'Tororo'), ('Tororo', 'Busia')]",5,0.33164567372230264,"('Kasese', 'Kampala')"
10,"[('Kasese', 'Kampala'), ('Kampala', 'Masindi'), ('Masindi', 'Tororo'), ('Tororo', 'Busia')]",4,0.3247633344104671,"('Kasese', 'Kampala')"
11,"[('Kasese', 'Kampala'), ('Kampala', 'Tororo'), ('Tororo', 'Busia')]",3,0.35832484899131806,"('Kasese', 'Kampala')"
